"","Date","Year","Month","CD_UF","PopTotal_UF","cases_total","time","state_index","year_index","base.fit","base.fit.lci","base.fit.uci","pred.uci","pred.mean","pred.median","pred.lci","state_code"
"54","2001-02-01",2001,2,53,2570160,220,2,27,1,243.981403840548,155.606068267578,382.622931424746,714.4,252.28,210.5,40.95,53
"55","2001-03-01",2001,3,11,1562409,173,3,1,1,212.075774947224,135.499322690155,331.991191089776,603.025,210.564,175,33,11
"56","2001-03-01",2001,3,12,733559,114,3,2,1,183.135221529226,116.582769305364,287.725380184994,542.075,198.33,163,29,12
"57","2001-03-01",2001,3,13,3483985,2947,3,3,1,1944.0806980423,1255.87272233008,3009.88139668036,5210.925,1905.236,1591,286.875,13
"58","2001-03-01",2001,3,14,450479,137,3,4,1,302.901777542454,193.022226424042,475.404655733734,902.075,332.729,279,47.975,14
"59","2001-03-01",2001,3,15,7581051,4030,3,5,1,2471.74267227899,1611.76603558948,3791.22486995297,6772.775,2290.289,1929,328.775,15
"60","2001-03-01",2001,3,16,669526,89,3,6,1,621.575825708637,392.632789055316,984.183184831188,2071.55,751.29,622.5,125.925,16
"61","2001-03-01",2001,3,17,1383445,579,3,7,1,777.794351576739,500.839649789275,1208.08759947649,2288.225,852.603,710,131.975,17
"62","2001-03-01",2001,3,21,6574789,1283,3,8,1,1161.31054598335,748.373408969116,1802.45072688451,3356.225,1229.538,1035,190.95,21
"63","2001-03-01",2001,3,22,3118360,1355,3,9,1,1506.98996799805,973.442818260545,2333.34716730313,4195.125,1561.077,1341.5,236.925,22
"64","2001-03-01",2001,3,23,8452381,4889,3,10,1,5062.55410868363,3268.26885891422,7843.14937548338,13975.125,5186.282,4514.5,743,23
"65","2001-03-01",2001,3,24,3168027,5966,3,11,1,5291.01741810991,3432.06804113873,8158.09574808722,14444.825,5448.539,4634,889.725,24
"66","2001-03-01",2001,3,25,3766528,705,3,12,1,1940.85456742081,1236.61038674958,3046.68328956631,5905.275,2187.281,1843,310.975,25
"67","2001-03-01",2001,3,26,8796448,1259,3,13,1,2258.05474616969,1443.21480899886,3533.5876577433,6550.7,2487.04,2064,420.9,26
"68","2001-03-01",2001,3,27,3120494,726,3,14,1,240.981084705803,158.898449278444,365.529949620995,485.075,173.273,145.5,26.975,27
"69","2001-03-01",2001,3,28,2068017,366,3,15,1,364.244615059711,234.302100062883,566.343298922207,1043.075,370.697,310,57.975,28
"70","2001-03-01",2001,3,29,14016906,5708,3,16,1,6321.20110388089,4085.21431620089,9782.70982104759,17719.05,6208.739,5227,1188.825,29
"71","2001-03-01",2001,3,31,19597330,7842,3,17,1,9103.53477395536,5866.67467135686,14128.846196842,25754.25,9494.037,8118,1405.35,31
"72","2001-03-01",2001,3,32,3514952,1349,3,18,1,1458.96965697478,942.29133842689,2259.31803967925,4006.6,1495.862,1263,227.95,32
"73","2001-03-01",2001,3,33,15989929,9231,3,19,1,12567.9627776306,8079.91176585195,19552.1806467485,36143.15,13436.319,11173.5,2022.05,33
"74","2001-03-01",2001,3,35,41262199,9122,3,20,1,12599.6294149871,8072.38000405775,19669.5044436412,35705.025,13170.733,11374,1851.3,35
"75","2001-03-01",2001,3,41,10444526,592,3,21,1,437.211076596024,279.124677880613,684.990046775294,1223.225,430.291,353.5,64,41
"76","2001-03-01",2001,3,42,6248436,6,3,22,1,11.1908914401575,6.2389860834475,20.0790281194799,40.025,12.506,10,1,42
"77","2001-03-01",2001,3,43,10693929,4,3,23,1,27.5443057809722,15.5849863883997,48.6976542714655,101.025,34.928,29,4,43
"78","2001-03-01",2001,3,50,2449024,1427,3,24,1,1995.08676181332,1279.80222080581,3110.62746006022,6013.975,2112.532,1762.5,310.975,50
"79","2001-03-01",2001,3,51,3035122,168,3,25,1,523.358191482207,332.622398585839,823.619901595642,1751.325,617.801,516.5,91.975,51
"80","2001-03-01",2001,3,52,6003788,2329,3,26,1,2299.26222529349,1489.04414121336,3550.89281683649,6695.925,2373.503,1959,438,52
"81","2001-03-01",2001,3,53,2570160,209,3,27,1,292.407548200225,186.313484212688,459.004579273652,880.125,307.34,252,45.95,53
"82","2001-04-01",2001,4,11,1562409,80,4,1,1,116.353248604102,74.12414043095,182.674600284438,333.025,124.89,105,18.975,11
"83","2001-04-01",2001,4,12,733559,78,4,2,1,90.5273958231797,57.6786468344887,142.106899484623,259.225,94.09,75,13.975,12
"84","2001-04-01",2001,4,13,3483985,1178,4,3,1,1395.35526544734,890.009267450502,2187.97100820307,3841.725,1455.366,1254,224.975,13
"85","2001-04-01",2001,4,14,450479,88,4,4,1,268.47513435678,170.226293132389,423.493287146956,822.049999999999,305.104,261.5,45.975,14
"86","2001-04-01",2001,4,15,7581051,2421,4,5,1,1617.53610431671,1051.18188776343,2489.46290036408,4339.425,1572.773,1299,269.95,15
"87","2001-04-01",2001,4,16,669526,164,4,6,1,462.638758103726,292.942206510907,730.761462085934,1375.375,519.189,439.5,71.925,16
"88","2001-04-01",2001,4,17,1383445,412,4,7,1,678.827624733839,436.336977607266,1056.24461887135,2292.95,772.631,636.5,107.9,17
"89","2001-04-01",2001,4,21,6574789,781,4,8,1,975.19564095349,624.986227753804,1521.94360910332,2831.3,1013.297,859,150,21
"90","2001-04-01",2001,4,22,3118360,1858,4,9,1,1912.47044841527,1235.62039207688,2960.55980857221,5342.7,1961.456,1673,328.875,22
"91","2001-04-01",2001,4,23,8452381,4613,4,10,1,6576.53530476376,4228.76879410962,10229.4436108884,18160.95,6847.693,5743,999.825,23
"92","2001-04-01",2001,4,24,3168027,5049,4,11,1,5728.93223397137,3706.30371460088,8856.70796281321,15260.225,5780.809,4843,864.2,24
"93","2001-04-01",2001,4,25,3766528,2993,4,12,1,2461.37967179908,1590.75820285821,3809.12407186527,6850.35,2446.284,1997,378.9,25
"94","2001-04-01",2001,4,26,8796448,2062,4,13,1,2613.19217476453,1679.7367371015,4066.08388265687,8265.9,2837.556,2367,478.725,26
"95","2001-04-01",2001,4,27,3120494,300,4,14,1,276.033820257745,177.227564122953,430.007478758813,827.175,284.814,235,44,27
"96","2001-04-01",2001,4,28,2068017,504,4,15,1,482.319255152962,310.384467088433,749.619464554011,1286.1,499.85,432,73,28
"97","2001-04-01",2001,4,29,14016906,5428,4,16,1,5524.26592881011,3575.28739520801,8537.08482574554,16732,5797.477,4662,946.325,29
"98","2001-04-01",2001,4,31,19597330,8209,4,17,1,8980.64524724811,5799.65809502231,13908.8667757806,24174.05,8976.789,7563,1235.95,31
"99","2001-04-01",2001,4,32,3514952,1381,4,18,1,1297.55538352644,839.621560780604,2005.5630590231,3636.05,1341.926,1114.5,223.925,32
"100","2001-04-01",2001,4,33,15989929,16244,4,19,1,11923.692263098,7749.86703883383,18348.3618264506,33450.55,11747.991,9768,1619.7,33
"101","2001-04-01",2001,4,35,41262199,18888,4,20,1,13845.1484243783,8973.18813625733,21366.1968032504,39753.925,13404.793,10929,2139.75,35
"102","2001-04-01",2001,4,41,10444526,401,4,21,1,410.092535609134,261.070796387808,644.323257197932,1097.025,415.395,358.5,69.95,41
"103","2001-04-01",2001,4,42,6248436,5,4,22,1,10.5747063287468,5.91032166613738,18.9256387918611,37.025,12.544,10,1,42
"104","2001-04-01",2001,4,43,10693929,6,4,23,1,25.6286043858192,14.5751250390517,45.0804449265235,88.05,31.804,27,4,43
"105","2001-04-01",2001,4,50,2449024,3158,4,24,1,1557.8059736309,1022.09585297963,2374.64253101114,3676.475,1385.47,1131.5,208.95,50
"106","2001-04-01",2001,4,51,3035122,201,4,25,1,369.166114134023,235.546449766474,578.692316409663,1133.625,394.314,333,64,51
"107","2001-04-01",2001,4,52,6003788,1708,4,26,1,2008.29668069255,1298.10323207489,3107.53291383189,5856.725,2109.521,1745,327.975,52
"108","2001-04-01",2001,4,53,2570160,190,4,27,1,296.521335182196,188.7021657074,466.036546443814,892.1,321.313,278,42,53
"109","2001-05-01",2001,5,11,1562409,109,5,1,1,66.3016829772142,42.7845000057008,102.764065002821,189.025,64.047,54,9,11
"110","2001-05-01",2001,5,12,733559,36,5,2,1,47.3780003234102,30.1234275283359,74.5278571544194,145.05,52.289,44,7,12
"111","2001-05-01",2001,5,13,3483985,734,5,3,1,970.714187823927,616.991716525929,1527.45819912639,2990.4,1073.565,895,186,13
"112","2001-05-01",2001,5,14,450479,116,5,4,1,349.355879864848,222.029618844329,549.77959799337,1066.3,392.724,317.5,64.925,14
"113","2001-05-01",2001,5,15,7581051,1107,5,5,1,1002.58825686235,647.961453481865,1551.5734874928,3023.15,1048.367,860.5,169.875,15
"114","2001-05-01",2001,5,16,669526,546,5,6,1,352.525408500083,227.658581565063,545.966341563311,901.325,333.05,276.5,49,16
"115","2001-05-01",2001,5,17,1383445,405,5,7,1,546.656917926234,352.623446633262,847.591121898531,1636.675,606.859,496,97.95,17
"116","2001-05-01",2001,5,21,6574789,802,5,8,1,786.414252508577,506.352571299976,1221.60992458544,2225.875,814.267,681.5,121.95,21
"117","2001-05-01",2001,5,22,3118360,1900,5,9,1,2063.91160641586,1334.57860152609,3192.33731594844,5870.25,2154.003,1873.5,327.975,22
"118","2001-05-01",2001,5,23,8452381,6196,5,10,1,6975.06229661623,4497.73371270561,10818.7262323107,19078.475,7307.651,6178.5,1269.5,23
"119","2001-05-01",2001,5,24,3168027,6670,5,11,1,5383.81111574524,3501.27984649157,8279.7542858894,14236.65,5307.002,4297,898.85,24
"120","2001-05-01",2001,5,25,3766528,4679,5,12,1,2348.35750496034,1537.47169247654,3587.50119818286,5845.125,2157.483,1841.5,361.925,25
"121","2001-05-01",2001,5,26,8796448,2293,5,13,1,2418.45051368177,1560.75999584155,3748.1107066087,6662.25,2467.423,2052,325.9,26
"122","2001-05-01",2001,5,27,3120494,122,5,14,1,314.969360009657,200.387544577609,495.16619763557,992.2,348.278,284,42,27
"123","2001-05-01",2001,5,28,2068017,796,5,15,1,514.67561913322,334.010034072357,793.193149647851,1332.325,469.292,391,67.95,28
"124","2001-05-01",2001,5,29,14016906,4581,5,16,1,3805.97010920451,2473.01629619876,5858.33539874072,9759.45,3680.974,3124.5,598.5,29
"125","2001-05-01",2001,5,31,19597330,4594,5,17,1,5291.88099311826,3418.47044871402,8193.49865120648,14907.55,5512.941,4703,878.525,31
"126","2001-05-01",2001,5,32,3514952,1083,5,18,1,1079.18676561191,698.727822673735,1667.07381318514,2954.125,1091.507,933,167.775,32
"127","2001-05-01",2001,5,33,15989929,13861,5,19,1,7369.15493381035,4831.45412774469,11241.4955874838,18806.525,6758.071,5671,1085.05,33
"128","2001-05-01",2001,5,35,41262199,18001,5,20,1,8035.92503203121,5277.6805547107,12237.8384883635,18980.15,7128.147,6074,1201.5,35
"129","2001-05-01",2001,5,41,10444526,143,5,21,1,168.94784502103,107.268131389811,266.150923032551,499.05,183.453,156,29.975,41
"130","2001-05-01",2001,5,42,6248436,5,5,22,1,6.36002793936123,3.55538514405981,11.3803292088972,21,7.103,6,0,42
"131","2001-05-01",2001,5,43,10693929,6,5,23,1,11.2916880428163,6.44360570398446,19.7936597168272,37,12.816,11,1,43
"132","2001-05-01",2001,5,50,2449024,2412,5,24,1,756.075069983485,503.244083221697,1136.07982341908,1433.975,545.185,476,83.975,50
"133","2001-05-01",2001,5,51,3035122,211,5,25,1,250.085890267613,160.30073575061,390.23274832612,733,265.768,220.5,41.975,51
"134","2001-05-01",2001,5,52,6003788,1005,5,26,1,1415.89829505907,914.36744893334,2192.87879699169,4181.55,1520.445,1273.5,241.9,52
"135","2001-05-01",2001,5,53,2570160,173,5,27,1,270.262264433073,172.111082023533,424.472902952006,808.25,291.497,245.5,44.925,53
"136","2001-06-01",2001,6,11,1562409,51,6,1,1,39.8423059505364,25.5281428495619,62.1941339534959,111,39.522,34,5,11
"137","2001-06-01",2001,6,12,733559,32,6,2,1,30.2054941294259,19.2357033277332,47.438913918413,85.025,29.629,24,3,12
"138","2001-06-01",2001,6,13,3483985,325,6,3,1,640.598621398666,404.852937710896,1013.77887003118,1918.575,729.146,610,97.925,13
"139","2001-06-01",2001,6,14,450479,103,6,4,1,415.347002437635,263.031577473283,655.963560228627,1351.125,477.535,405.5,59.975,14
"140","2001-06-01",2001,6,15,7581051,426,6,5,1,546.810319555424,350.974228051736,852.075425586019,1520.075,571.889,475,107.975,15
"141","2001-06-01",2001,6,16,669526,417,6,6,1,219.584712870054,142.529005316105,338.352753641546,572.025,200.822,171,29,16
"142","2001-06-01",2001,6,17,1383445,193,6,7,1,254.597587041177,163.8715342196,395.613792166835,758.3,275.195,229.5,37,17
"143","2001-06-01",2001,6,21,6574789,422,6,8,1,446.428332797383,286.432653002667,695.929360893235,1233.65,457.136,394,79.975,21
"144","2001-06-01",2001,6,22,3118360,1546,6,9,1,1517.64670023778,982.079971253465,2345.65147294288,4369.2,1570.347,1317,224.875,22
"145","2001-06-01",2001,6,23,8452381,4371,6,10,1,4492.78401184188,2902.98549205334,6954.34542849526,12605.15,4570.318,3848,644.925,23
"146","2001-06-01",2001,6,24,3168027,4793,6,11,1,3861.7499635438,2509.89089910692,5942.61144070444,10513.6,3750.687,3133.5,522.975,24
"147","2001-06-01",2001,6,25,3766528,2125,6,12,1,1495.64375493814,970.810909508479,2304.58920264529,3560.45,1416.199,1254.5,236.65,25
"148","2001-06-01",2001,6,26,8796448,1492,6,13,1,1549.46194013452,999.127372606544,2403.33702789814,4673.175,1654.259,1362.5,244.9,26
"149","2001-06-01",2001,6,27,3120494,86,6,14,1,242.100576205936,153.452988474844,382.034052415931,763.35,277.95,239,38.975,27
"150","2001-06-01",2001,6,28,2068017,530,6,15,1,342.709537729119,222.28207015155,528.465816727917,817.025,305.617,265,48.975,28
"151","2001-06-01",2001,6,29,14016906,1971,6,16,1,1839.90588657741,1190.34669204125,2844.39420906853,5516.6,1978.42,1661.5,306.925,29
"152","2001-06-01",2001,6,31,19597330,1189,6,17,1,1447.72635751137,932.181489819436,2248.78959201599,4300.95,1579.51,1338.5,243.725,31
"153","2001-06-01",2001,6,32,3514952,644,6,18,1,564.065040065448,365.504268052179,870.632329139876,1512.25,569.326,497,90.9,32
"154","2001-06-01",2001,6,33,15989929,5951,6,19,1,3032.54074644346,1986.82662285297,4629.32038097686,7729.25,2650.038,2140,398.9,33
"155","2001-06-01",2001,6,35,41262199,5901,6,20,1,2249.9333605631,1481.32608005253,3417.90094940834,5278.325,1907.395,1575,315.575,35
"156","2001-06-01",2001,6,41,10444526,22,6,21,1,39.4459759543002,24.7932076101304,62.7715948433601,131.025,44.235,35,5.975,41
"157","2001-06-01",2001,6,42,6248436,5,6,22,1,2.61485536593215,1.45004274722515,4.71658441589829,8,2.38,2,0,42
"158","2001-06-01",2001,6,43,10693929,5,6,23,1,3.85990096711932,2.18107562948784,6.83310953972623,13,3.957,3,0,43
"159","2001-06-01",2001,6,50,2449024,238,6,24,1,242.3462439393,156.101407504296,376.295144875079,702.05,245.489,202,37,50
"160","2001-06-01",2001,6,51,3035122,96,6,25,1,132.800740898893,84.8571754012128,207.870978714104,399.05,142.071,122.5,18,51
"161","2001-06-01",2001,6,52,6003788,488,6,26,1,637.651986812457,411.258701923459,988.832852134226,1920.175,672.519,558,109.975,52
"162","2001-06-01",2001,6,53,2570160,92,6,27,1,131.652569138957,83.6028082631903,207.358681580201,441.075,148.215,127,20,53
"163","2001-07-01",2001,7,11,1562409,26,7,1,1,29.8198743244382,18.9617489744989,46.9043918743286,84.05,30.4,26,3.975,11
"164","2001-07-01",2001,7,12,733559,7,7,2,1,20.9867224189193,13.2241145978106,33.3111462504545,69.025,23.561,19,2,12
"165","2001-07-01",2001,7,13,3483985,126,7,3,1,513.536687439208,323.426170098066,815.520669620783,1591.1,593.793,516.5,89.975,13
