"","Date","Year","Month","CD_UF","Pop0_19_UF","cases0_19","time","state_index","year_index","base.fit","base.fit.lci","base.fit.uci","pred.mean","pred.median","pred.lci","pred.uci","state_code"
"66","2001-03-01",2001,3,25,1305858,177,3,12,1,528.065769269259,332.998091550599,837.552931346428,612.186,508.5,76.95,1691.05,25
"67","2001-03-01",2001,3,26,3070367,343,3,13,1,637.113531614936,403.390135381879,1006.44451336618,710.524,614.5,119.95,1870.125,26
"68","2001-03-01",2001,3,27,1223353,182,3,14,1,64.8649991268374,41.9953849927497,100.20817277056,51.771,43.5,6,148.1,27
"69","2001-03-01",2001,3,28,758267,83,3,15,1,95.9482860711022,60.6515949179613,151.81211478357,100.242,82.5,13.975,302,28
"70","2001-03-01",2001,3,29,4917375,1692,3,16,1,1716.426366164,1101.07257220368,2676.16704007313,1827.703,1531.5,279.925,5373.95,29
"71","2001-03-01",2001,3,31,6113296,1727,3,17,1,1948.75407787199,1244.13152448808,3053.04675612106,2052.189,1711,321.925,5988.725,31
"72","2001-03-01",2001,3,32,1113171,310,3,18,1,311.98803430043,199.387557793917,488.262015005618,319.097,273,46.975,902.1,32
"73","2001-03-01",2001,3,33,4655915,1975,3,19,1,2753.97030922641,1754.3354227252,4323.95973214427,2954.012,2536,410.725,8351.6,33
"74","2001-03-01",2001,3,35,12164826,1895,3,20,1,2336.73887771352,1486.1944857202,3674.75852578938,2461.388,2085,401.825,6572.4,35
"75","2001-03-01",2001,3,41,3320131,121,3,21,1,82.5044498553446,50.9436452656654,133.650442433313,80.443,66,12,245.025,41
"76","2001-03-01",2001,3,42,1907499,0,3,22,1,1.12681151308003,0.421888645516193,3.00761448208748,1.629,1,0,7,42
"77","2001-03-01",2001,3,43,3105241,1,3,23,1,4.53185450567551,2.01008234119255,10.2206966680337,6.366,5,0,21,43
"78","2001-03-01",2001,3,50,837704,333,3,24,1,482.989764144928,305.829079095367,762.891252354566,521.727,432.5,72.95,1473.15,50
"79","2001-03-01",2001,3,51,1064017,39,3,25,1,129.640743646921,80.9261295134603,207.722755633785,141.905,119,22.975,395.025,51
"80","2001-03-01",2001,3,52,1975139,562,3,26,1,546.243879373268,350.111183275615,852.393245517757,542.372,455.5,80.95,1601.35,52
"81","2001-03-01",2001,3,53,829238,39,3,27,1,56.6015653684046,35.045689428231,91.4346401078963,59.86,50,9,162.025,53
"82","2001-04-01",2001,4,11,580275,22,4,1,1,30.6259955261652,19.0505976758921,49.243991615147,33.011,28,4,102,11
"83","2001-04-01",2001,4,12,324213,25,4,2,1,29.9093351257294,18.6541980633635,47.9627042045756,33.079,26,4,94.025,12
"84","2001-04-01",2001,4,13,1520807,300,4,3,1,424.971687512121,267.362481056184,675.599011401855,455.283,378,69.925,1188.475,13
"85","2001-04-01",2001,4,14,195868,29,4,4,1,70.1206391244202,43.7406447766616,112.427601122968,74.695,61,8,219.05,14
"86","2001-04-01",2001,4,15,3141578,841,4,5,1,540.676725817932,348.615011900334,838.702200153935,512.246,433.5,81,1399.125,15
"87","2001-04-01",2001,4,16,295134,39,4,6,1,111.41512199078,69.5080359436475,178.624266321665,128.282,102.5,19,389.175,16
"88","2001-04-01",2001,4,17,537291,122,4,7,1,176.676940688345,112.133998664183,278.414640296081,194.61,156,29,561.05,17
"89","2001-04-01",2001,4,21,2716327,233,4,8,1,299.603131530216,190.009133952696,472.505789887136,312.632,258,43.975,879.025,21
"90","2001-04-01",2001,4,22,1131904,492,4,9,1,477.994327483464,305.706628031322,747.506828006132,481.873,394.5,70.975,1330.2,22
"91","2001-04-01",2001,4,23,3035091,1150,4,10,1,1527.17848912386,973.248097278772,2396.81132514242,1612.641,1344,242,4300.975,23
"92","2001-04-01",2001,4,24,1083280,1139,4,11,1,1346.86013484117,862.842643035604,2102.73216925735,1405.083,1190.5,232.95,3682.05,24
"93","2001-04-01",2001,4,25,1305858,827,4,12,1,692.147859413272,442.888501696032,1081.88034918968,683.45,558.5,107.8,1941.1,25
"94","2001-04-01",2001,4,26,3070367,581,4,13,1,738.223247855429,470.06398409967,1159.57093033808,766.416,603,107.925,2173.3,26
"95","2001-04-01",2001,4,27,1223353,89,4,14,1,76.4094280304203,48.3576821192326,120.758337686955,75.661,61,9,223,27
"96","2001-04-01",2001,4,28,758267,112,4,15,1,119.521340198374,75.5833709211151,189.033517250276,126.953,103.5,17.975,365.125,28
"97","2001-04-01",2001,4,29,4917375,1480,4,16,1,1513.69163156857,971.347521460796,2359.25606515129,1559.965,1260,209.9,4346.375,29
"98","2001-04-01",2001,4,31,6113296,1724,4,17,1,1885.89600764337,1205.63468908035,2950.56264802496,1901.632,1556.5,311.675,5235.775,31
"99","2001-04-01",2001,4,32,1113171,298,4,18,1,272.898586712748,174.579819937648,426.659343430787,274.142,226.5,38.95,769.075,32
"100","2001-04-01",2001,4,33,4655915,3652,4,19,1,2631.25947219022,1696.13178482143,4082.63779735691,2569.771,2143.5,360.975,7313.7,33
"101","2001-04-01",2001,4,35,12164826,3727,4,20,1,2573.87370595163,1655.56062607593,4002.32239059962,2492.583,2090.5,403.475,7070.075,35
"102","2001-04-01",2001,4,41,3320131,72,4,21,1,78.0965461292391,47.8934782166911,127.377859438834,79.685,64,11.975,232.075,41
"103","2001-04-01",2001,4,42,1907499,0,4,22,1,1.07326311083334,0.402412455551821,2.86061795196413,1.523,1,0,6,42
"104","2001-04-01",2001,4,43,3105241,1,4,23,1,4.14397911740164,1.84094921895449,9.3311814299327,5.986,4,0,20,43
"105","2001-04-01",2001,4,50,837704,796,4,24,1,376.049678076054,243.926722821744,579.819333465731,318.502,265,40,898.275,50
"106","2001-04-01",2001,4,51,1064017,51,4,25,1,93.4733815325552,58.5884969977343,149.160280729353,105.739,89,15,286.025,51
"107","2001-04-01",2001,4,52,1975139,366,4,26,1,472.319751941994,301.743381754561,739.449516761021,479.845,403.5,71,1283.05,52
"108","2001-04-01",2001,4,53,829238,32,4,27,1,55.6757378612175,34.4000692768426,90.127638105242,62.842,53,8,178.025,53
"109","2001-05-01",2001,5,11,580275,27,5,1,1,17.2507044470911,10.8335600657655,27.4739895774438,17.07,14,2,48.025,11
"110","2001-05-01",2001,5,12,324213,13,5,2,1,15.5723236943277,9.68003353810225,25.0550731430118,16.711,14,1,52.05,12
"111","2001-05-01",2001,5,13,1520807,209,5,3,1,285.327452818905,179.010676761234,454.8603408871,301.141,258.5,44.975,805.075,13
"112","2001-05-01",2001,5,14,195868,27,5,4,1,94.7786051991471,59.222061085721,151.706513603492,106.119,86.5,14.975,296.125,14
"113","2001-05-01",2001,5,15,3141578,377,5,5,1,321.260782244777,205.880828010772,501.393613723117,323.623,268,47,918.2,15
"114","2001-05-01",2001,5,16,295134,142,5,6,1,78.8790217823552,50.3588709529255,123.572514955411,71.501,59,8.975,214.1,16
"115","2001-05-01",2001,5,17,537291,93,5,7,1,136.961668997519,87.0609050825254,215.498957192452,144.355,125.5,17,383.05,17
"116","2001-05-01",2001,5,21,2716327,298,5,8,1,245.487113392221,156.780218974198,384.460669498084,236.253,193,32,675.025,21
"117","2001-05-01",2001,5,22,1131904,584,5,9,1,511.474176475338,328.043932673622,797.609445527409,506.328,420,71.975,1396.125,22
"118","2001-05-01",2001,5,23,3035091,1570,5,10,1,1645.20065834043,1052.58026879162,2571.94987735677,1756.74,1490,271.975,4980.95,23
"119","2001-05-01",2001,5,24,1083280,1464,5,11,1,1202.75897424412,774.701409338618,1867.63398920444,1167.913,973.5,192.75,3374.925,24
"120","2001-05-01",2001,5,25,1305858,1340,5,12,1,650.38950285413,422.233337388739,1002.00117333391,572.874,487,91,1549.525,25
"121","2001-05-01",2001,5,26,3070367,633,5,13,1,672.848385557237,430.238499760451,1052.45479179116,739.22,588.5,121.9,2225.175,26
"122","2001-05-01",2001,5,27,1223353,30,5,14,1,83.543364022331,52.3322240351624,133.397011641589,95.501,82,13,266,27
"123","2001-05-01",2001,5,28,758267,197,5,15,1,129.100076188277,82.5896772106247,201.838658192365,120.769,103,17.975,335.325,28
"124","2001-05-01",2001,5,29,4917375,1264,5,16,1,1026.60666729309,661.500723267411,1593.49811581066,1016.854,818,151.975,2880.35,29
"125","2001-05-01",2001,5,31,6113296,975,5,17,1,1117.45046570764,714.567593263504,1747.83433723712,1132.447,945,190.95,3251,31
"126","2001-05-01",2001,5,32,1113171,260,5,18,1,229.110693001155,146.85927016486,357.489806446617,227.725,194.5,35,625.25,32
"127","2001-05-01",2001,5,33,4655915,3261,5,19,1,1646.30506142831,1071.60325706644,2529.6178950638,1463.542,1200,172,4008.55,33
"128","2001-05-01",2001,5,35,12164826,3444,5,20,1,1532.59158889841,997.81122541099,2354.42323925478,1328.645,1113.5,192.875,3633.6,35
"129","2001-05-01",2001,5,41,3320131,33,5,21,1,32.7247124439574,20.0467710686741,53.4322947172649,33.921,28,4,102.075,41
"130","2001-05-01",2001,5,42,1907499,0,5,22,1,0.698524645925013,0.259395874188424,1.87971405861571,0.907,0,0,4,42
"131","2001-05-01",2001,5,43,3105241,0,5,23,1,1.43608504838364,0.627600206960629,3.28667766184852,1.909,1,0,7.02499999999998,43
"132","2001-05-01",2001,5,50,837704,624,5,24,1,181.854091773277,119.781228246232,276.130738880757,125.812,108,17,363.075,50
"133","2001-05-01",2001,5,51,1064017,42,5,25,1,61.6625421858504,38.7217592379737,98.2149309731445,67.194,57,8,186.15,51
"134","2001-05-01",2001,5,52,1975139,216,5,26,1,323.323419760124,206.386114003088,506.605194346275,345.307,294,50.975,1018.075,52
"135","2001-05-01",2001,5,53,829238,25,5,27,1,51.9954297942074,32.124639528768,84.1738724688313,56.574,46,7,160.025,53
"136","2001-06-01",2001,6,11,580275,18,6,1,1,10.7244116632964,6.70674572463751,17.1519679558834,10.433,9,1,30,11
"137","2001-06-01",2001,6,12,324213,7,6,2,1,8.2596077336746,5.09411075765968,13.3940970878523,8.861,7,0,27,12
"138","2001-06-01",2001,6,13,1520807,81,6,3,1,176.436130781583,109.818407016581,283.513453562795,200.51,164.5,27,577.275,13
"139","2001-06-01",2001,6,14,195868,27,6,4,1,107.086817858803,66.7408905087434,171.850147710085,125.746,109,17.975,362,14
"140","2001-06-01",2001,6,15,3141578,118,6,5,1,167.560723215727,106.354328163236,264.041676828829,179.966,154,30,499.025,15
"141","2001-06-01",2001,6,16,295134,95,6,6,1,49.5307513492005,31.6163495875002,77.6091244951523,43.321,37,6,119,16
"142","2001-06-01",2001,6,17,537291,43,6,7,1,62.3502041369415,39.501955920267,98.4292867641242,66.643,58,8,192.025,17
"143","2001-06-01",2001,6,21,2716327,134,6,8,1,140.417741960002,89.0730334034254,221.403925220456,148.348,121,21,458,21
"144","2001-06-01",2001,6,22,1131904,431,6,9,1,390.135911727208,249.965311023694,609.01155006111,406.13,338,69,1084.05,22
"145","2001-06-01",2001,6,23,3035091,1056,6,10,1,1032.38914011848,661.008408714093,1612.70751688843,1048.681,882.5,148.9,2998.55,23
"146","2001-06-01",2001,6,24,1083280,1080,6,11,1,829.801773412696,534.44626809389,1288.58420924739,817.785,671,125.75,2329.35,24
"147","2001-06-01",2001,6,25,1305858,567,6,12,1,411.556946081503,264.353726476646,640.840313903783,399.505,339.5,51.925,1152.05,25
"148","2001-06-01",2001,6,26,3070367,450,6,13,1,434.337049723396,277.766044021046,679.285642086468,447.132,365,64.95,1285.425,26
"149","2001-06-01",2001,6,27,1223353,20,6,14,1,61.5606442869528,38.4131872782229,98.6773892855251,71.126,59,8,204.05,27
"150","2001-06-01",2001,6,28,758267,125,6,15,1,74.8633951615325,47.8588742726302,117.124560778625,69.277,58,9,196.025,28
"151","2001-06-01",2001,6,29,4917375,511,6,16,1,490.061733210439,313.848437675562,765.347712624749,488.039,397,75.875,1422.4,29
"152","2001-06-01",2001,6,31,6113296,241,6,17,1,312.752122963349,199.089453626101,491.398999946878,339.65,284,48.975,922.3,31
"153","2001-06-01",2001,6,32,1113171,138,6,18,1,121.731974232676,77.914545816795,190.223603919032,124.691,106,16,360.05,32
"154","2001-06-01",2001,6,33,4655915,1418,6,19,1,703.8289238533,457.51703387009,1082.90725048347,630.858,512,92.925,1881.025,33
"155","2001-06-01",2001,6,35,12164826,1160,6,20,1,457.358305201919,298.016578981276,702.01688424698,390.374,324.5,64.975,1068.1,35
"156","2001-06-01",2001,6,41,3320131,5,6,21,1,8.11159414647847,4.893209640248,13.449590346758,8.847,7,0,28,41
"157","2001-06-01",2001,6,42,1907499,1,6,22,1,0.292184038737606,0.105745145138114,0.806585627807549,0.234,0,0,2,42
"158","2001-06-01",2001,6,43,3105241,1,6,23,1,0.56938975170315,0.241704197495276,1.34152654654465,0.643,0,0,4,43
"159","2001-06-01",2001,6,50,837704,52,6,24,1,58.6881245491949,37.1380624328729,92.7562982573689,59.832,50,7,169.05,50
"160","2001-06-01",2001,6,51,1064017,17,6,25,1,32.4773061106177,20.3143494367066,51.9333441144872,35.926,30,4,106,51
"161","2001-06-01",2001,6,52,1975139,105,6,26,1,147.656371985812,94.1285268989621,231.663558079955,160.182,135,22.975,466.05,52
"162","2001-06-01",2001,6,53,829238,17,6,27,1,26.7861778841457,16.5070586620007,43.4736530536813,29.958,24.5,3,91,53
"163","2001-07-01",2001,7,11,580275,5,7,1,1,7.51255482194516,4.62293070426763,12.2106438053722,7.829,6,0,24,11
"164","2001-07-01",2001,7,12,324213,3,7,2,1,6.30838684205895,3.87234664418217,10.2781179573464,7.054,6,0,22,12
"165","2001-07-01",2001,7,13,1520807,21,7,3,1,152.016718990842,94.2083232872113,245.338406924483,183.679,153,29,532.025,13
"166","2001-07-01",2001,7,14,195868,46,7,4,1,106.420223320844,66.7416430398434,169.715676009055,120.425,95,18.975,357.025,14
"167","2001-07-01",2001,7,15,3141578,54,7,5,1,115.375065311716,72.8005770419069,182.884207112875,129.471,107,16.975,353.025,15
"168","2001-07-01",2001,7,16,295134,91,7,6,1,46.7962142057647,29.9009699874999,73.2498456289384,42.143,35,5,125.025,16
