CD_UF,distance,neighboringState
22,2120067.076918793,41
22,2337592.4083573716,42
22,2697330.6671201843,43
22,1921064.7873249936,50
22,1546316.1337058821,51
22,1199732.6618803274,52
22,1067764.0735635369,53
23,2639236.8729339335,11
23,3437969.77567307,12
23,2779493.523159335,13
23,2548166.306278135,14
23,1498131.183934414,15
23,1551612.0128245607,16
23,1111496.9856417913,17
23,628568.4487724658,21
23,448838.7062771032,22
23,0.0,23
23,336486.6241984291,24
23,381265.1959019259,25
23,400227.38320306607,26
23,590161.1913916221,27
23,652885.383289107,28
23,848138.7900110473,29
23,1575938.1778154015,31
23,1605888.4180597614,32
23,1920713.8959614239,33
23,2139114.897781382,35
23,2515073.4094273415,41
23,2709581.09645566,42
23,3081321.543354323,43
23,2357128.0809605597,50
23,1990100.8460492885,51
23,1630068.1963307813,52
23,1482476.769482175,53
24,2935366.36644776,11
24,3748094.9922599946,12
24,3107853.7082109544,13
24,2884174.6492580357,14
24,1830247.4075042775,15
24,1880881.557968522,16
24,1369901.5861188513,17
24,958144.2613921866,21
24,716203.7436395765,22
24,336486.6241984291,23
24,0.0,24
24,142839.42333459613,25
24,311673.00347596,26
24,406357.65953032055,27
24,531396.5638286057,28
24,919275.8165369768,29
24,1642410.8381132565,31
24,1579405.3380494558,32
24,1920895.360877285,33
24,2233175.7171737626,35
24,2621954.342347205,41
24,2784476.496443873,42
24,3166733.2470332263,43
24,2534931.0882771662,50
24,2253356.616169197,51
24,1806911.1216082398,52
24,1638483.767248509,53
25,2889810.169985786,11
25,3713629.7684821426,12
25,3098537.2886356325,13
25,2911916.5981428875,14
25,1832293.2344642503,15
25,1929284.4637746026,16
25,1308564.270118146,17
25,962773.0337412293,21
25,677663.9699067102,22
25,381265.1959019259,23
25,142839.42333459613,24
25,0.0,25
25,185282.2018380554,26
25,265560.2779948216,27
25,388683.9544748615,28
25,798293.0785210965,29
25,1513140.5848265223,31
25,1438268.7692289997,32
25,1781377.3953496192,33
25,2107202.6595431683,35
25,2497771.610453613,41
25,2653613.8624144783,42
25,3037232.754928377,43
25,2430640.6156660197,50
25,2187853.0260561076,51
25,1705652.366792143,52
25,1531565.7994564595,53
26,2741708.46933146,11
26,3573937.1569439773,12
26,2984398.381806106,13
26,2840430.5523563726,14
26,1735984.3526022402,15
26,1889569.455810562,16
26,1152834.0281218747,17
26,882651.1563246872,21
26,557478.5342529513,22
26,400227.38320306607,23
26,311673.00347596,24
26,185282.2018380554,25
26,0.0,26
26,199963.55492941354,27
26,256680.3391052056,28
26,613161.2104483452,29
26,1331362.984188044,31
26,1276703.7956605607,32
26,1613688.1698336734,33
26,1923774.30506404,35
26,2313725.38642057,41
26,2473066.935093816,42
26,2855740.160122858,43
26,2247035.740881423,50
26,2025296.0635167572,51
26,1523347.7713731069,52
26,1347630.8883197415,53
27,2876439.986919142,11
27,3717379.6496336674,12
27,3152346.7678575874,13
27,3031018.2750457525,14
27,1917828.7964035189,15
27,2088255.5872097882,16
27,1285826.838428545,17
27,1075100.6638769822,21
27,736608.4536374939,22
27,590161.1913916221,23
27,406357.65953032055,24
27,265560.2779948216,25
27,199963.55492941354,26
27,0.0,27
27,148464.97026452943,28
27,645819.8223503404,29
27,1314881.4180881858,31
27,1194673.8628401298,32
27,1544380.4950046116,33
27,1914474.1742738576,35
27,2308225.4549119826,41
27,2444129.1171670007,42
27,2830801.16764688,43
27,2293045.4065323756,50
27,2139978.258964643,51
27,1582785.191357447,52
27,1397067.1362912864,53
28,2778108.3420921215,11
28,3624601.7459911034,12
28,3084687.733792801,13
28,2999962.4878550004,14
28,1873068.6588809083,15
28,2087016.6521854475,16
28,1193196.179151427,17
28,1058015.5864807859,21
28,702456.9697709937,22
28,652885.383289107,23
28,531396.5638286057,24
28,388683.9544748615,25
28,256680.3391052056,26
28,148464.97026452943,27
28,0.0,28
28,511193.86130666157,29
28,1166689.1844599855,31
28,1052938.5050067822,32
28,1400223.8256958765,33
28,1766392.8828318354,35
28,2160253.8032380478,41
28,2295801.434802467,42
28,2682394.326351749,43
28,2153525.289867531,50
28,2029945.9380320832,51
28,1448903.960319536,52
28,1260614.346397233,53
29,2309041.374013963,11
29,3163286.5769164325,12
29,2685331.3852518247,13
29,2705173.3954433785,14
29,1563005.1393432473,15
29,1910297.828845705,16
29,766004.253186997,17
29,907481.8333471209,21
29,578586.1364918058,22
29,848138.7900110473,23
29,919275.8165369768,24
29,798293.0785210965,25
29,613161.2104483452,26
29,645819.8223503404,27
29,511193.86130666157,28
29,0.0,29
29,732779.9152503799,31
29,794010.2175213606,32
29,1081204.240960271,33
29,1315242.1730022763,35
29,1702815.2544465836,41
29,1874105.7260133924,42
29,2252709.4607538036,43
29,1648161.145904574,50
29,1542515.5832824558,51
29,937946.1181405598,52
29,751247.3263288995,53
31,2126775.671166501,11
31,2967462.4416618594,12
31,2689227.058222696,13
31,2918006.595417737,14
31,1844213.561897862,15
31,2341104.9966731695,16
31,1000588.6087798378,17
31,1481592.6281805467,21
31,1237580.9197676315,22
31,1575938.1778154015,23
31,1642410.8381132565,24
31,1513140.5848265223,25
31,1331362.984188044,26
31,1314881.4180881858,27
31,1166689.1844599855,28
31,732779.9152503799,29
31,0.0,31
31,438833.75026291446,32
