system:index,CD_MUN,LC_Type1,Municipality_Area,.geo
2705507,2705507,801586.3810661766,4.1975950816848296E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2705606,2705606,0.0,2.1644333656793073E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2705705,2705705,1146256.693627451,1.9244777261210653E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2705804,2705804,0.0,3.2903185255527866E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2705903,2705903,0.0,1.1748382734267059E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706000,2706000,995895.03125,1.7603962684796956E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706109,2706109,1244835.703125,1.9737815123574746E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706208,2706208,0.0,3.8346466273934856E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706307,2706307,3983544.359375,4.52852161910983E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706406,2706406,746934.1875,6.917015446887054E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706422,2706422,0.0,2.557721606030125E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706448,2706448,0.0,9.317165931053391E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706505,2706505,746905.921875,2.5233073425889754E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706604,2706604,0.0,1.1894823564192875E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706703,2706703,8943089.186029412,6.912513934302721E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706802,2706802,995965.3125,2.446737230859061E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2706901,2706901,1244876.984375,2.606845536868969E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2707008,2707008,0.0,1.1757055361966556E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2707107,2707107,2168528.37622549,4.0565975939321035E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2707206,2707206,995878.84375,2.85438569291096E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2707305,2707305,995860.6875,3.1453175499247915E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2707404,2707404,0.0,2.5817553782137725E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2707503,2707503,1889371.4803921569,2.3681289572630098E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2707602,2707602,0.0,3.211510801645729E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2707701,2707701,6671509.146017157,2.950282480361334E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2707800,2707800,248979.796875,1.294529226530023E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2707909,2707909,995901.5625,2.897666074783355E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2708006,2708006,3983534.65625,4.39687361922454E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2708105,2708105,0.0,2.3313269844205603E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2708204,2708204,0.0,1.396052477964435E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2708303,2708303,1493787.296875,2.5767172526456267E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2708402,2708402,0.0,4.941483846633871E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
