system:index,CD_MUN,Municipality_Area,max_elevation,mean_elevation,min_elevation,stdDev_elevation,variance_elevation,.geo
2406304,2406304,1.1848270658736332E8,131,99.04097202091958,41,14.432366599795232,208.29320567088502,"{""type"":""MultiPoint"",""coordinates"":[]}"
2406403,2406403,1.1209252993943238E8,393,144.68244213361538,111,17.629670303631137,310.8052750147336,"{""type"":""MultiPoint"",""coordinates"":[]}"
2406502,2406502,1.7706778888341886E8,722,673.4533732040993,389,58.78765139820366,3455.9879569167165,"{""type"":""MultiPoint"",""coordinates"":[]}"
2406601,2406601,7.94717847401559E7,126,100.36656717009733,46,15.985485750311547,255.5357546734135,"{""type"":""MultiPoint"",""coordinates"":[]}"
2406700,2406700,6.795813706346186E8,553,247.66486474730092,136,77.44629002844314,5997.927839169732,"{""type"":""MultiPoint"",""coordinates"":[]}"
2406809,2406809,1.3077403698576157E8,680,391.4413345831396,270,78.54436409999646,6169.217131872813,"{""type"":""MultiPoint"",""coordinates"":[]}"
2406908,2406908,3.106512045872791E7,605,267.6389668826073,188,84.42825246511194,7128.12981431268,"{""type"":""MultiPoint"",""coordinates"":[]}"
2407005,2407005,1.673574351675002E8,854,484.21476513926706,289,112.68461246995727,12697.821887504451,"{""type"":""MultiPoint"",""coordinates"":[]}"
2407104,2407104,5.123073127064001E8,150,77.77803447530619,-5,27.768211266773378,771.0735569561599,"{""type"":""MultiPoint"",""coordinates"":[]}"
2407203,2407203,7.786858600472882E8,119,28.02783984968097,-5,25.359069627811536,643.0824123881936,"{""type"":""MultiPoint"",""coordinates"":[]}"
2407252,2407252,3.210882425706867E7,487,308.418803975884,278,27.67038878235044,765.6504153664251,"{""type"":""MultiPoint"",""coordinates"":[]}"
2407302,2407302,3.472062361886467E8,612,258.91358429191087,203,45.0023941353921,2025.2154779171733,"{""type"":""MultiPoint"",""coordinates"":[]}"
2407401,2407401,1.7019950051292148E8,752,444.2372145879903,189,170.22142283966156,28975.332793558853,"{""type"":""MultiPoint"",""coordinates"":[]}"
2407500,2407500,1.3270692697787717E8,90,29.277993225395708,-1,15.974119221798793,255.17248491224166,"{""type"":""MultiPoint"",""coordinates"":[]}"
2407609,2407609,1.3567722233550036E8,438,179.65381803505414,140,18.627095328126973,346.9686803631297,"{""type"":""MultiPoint"",""coordinates"":[]}"
2407708,2407708,8.257007189704825E7,161,80.15372187490603,25,23.01002660863265,529.4613245299826,"{""type"":""MultiPoint"",""coordinates"":[]}"
2407807,2407807,2.121738582246422E8,137,84.33328964264922,15,29.234996231028102,854.6850046282273,"{""type"":""MultiPoint"",""coordinates"":[]}"
2407906,2407906,7.225731429180911E7,563,329.5889152790138,185,89.66873773963468,8040.482527819384,"{""type"":""MultiPoint"",""coordinates"":[]}"
2408003,2408003,2.1085214044180632E9,266,53.997735893026366,-7,36.837436327981166,1356.9967152180664,"{""type"":""MultiPoint"",""coordinates"":[]}"
2408102,2408102,1.6813050327564973E8,111,37.06973977487108,-13,20.8979847860159,436.7257681165521,"{""type"":""MultiPoint"",""coordinates"":[]}"
2408201,2408201,3.090546323250383E8,102,40.24975612668872,-4,20.27676548214316,411.1472184178323,"{""type"":""MultiPoint"",""coordinates"":[]}"
2408300,2408300,2.788557087059455E8,167,101.06988144906433,34,22.480410330512445,505.3688486282106,"{""type"":""MultiPoint"",""coordinates"":[]}"
2408409,2408409,1.4178304840565056E8,314,169.58042897266856,120,21.917042359872394,480.35674580444083,"{""type"":""MultiPoint"",""coordinates"":[]}"
2408508,2408508,2.5430060647600093E8,454,239.38013070057968,189,23.954448165732153,573.8155869247486,"{""type"":""MultiPoint"",""coordinates"":[]}"
2408607,2408607,8.174161093793176E7,697,335.5832980337255,283,39.341721417674975,1547.7710441059457,"{""type"":""MultiPoint"",""coordinates"":[]}"
2408706,2408706,3.8488247777582985E8,410,109.25244751719997,61,34.96087808974715,1222.2629968061624,"{""type"":""MultiPoint"",""coordinates"":[]}"
2408805,2408805,2.3201997636112794E8,212,107.7539450292601,54,31.7693236592637,1009.2899257670524,"{""type"":""MultiPoint"",""coordinates"":[]}"
2408904,2408904,5.1571891898376715E8,793,367.499614038943,242,92.43963273050478,8545.085699350611,"{""type"":""MultiPoint"",""coordinates"":[]}"
2408953,2408953,1.5175797352096632E8,79,26.607793209355073,-1,17.600893094047358,309.79143770808395,"{""type"":""MultiPoint"",""coordinates"":[]}"
2409100,2409100,4.231858619014678E7,367,172.24359821093122,119,29.310538467547666,859.1076652575914,"{""type"":""MultiPoint"",""coordinates"":[]}"
2409209,2409209,4.139353842529321E7,120,78.68725895238173,51,12.13586737540592,147.2792769534418,"{""type"":""MultiPoint"",""coordinates"":[]}"
2409308,2409308,3.2052091700613153E8,691,235.20513015985483,161,76.07208110370655,5786.961523448908,"{""type"":""MultiPoint"",""coordinates"":[]}"
2409332,2409332,2.2052453817823428E8,161,103.46156483840215,63,13.355542381269109,178.3705122978753,"{""type"":""MultiPoint"",""coordinates"":[]}"
2409407,2409407,2.6108661185895965E8,375,222.00263930130822,179,20.70431574722242,428.6686905606823,"{""type"":""MultiPoint"",""coordinates"":[]}"
2409506,2409506,2.2213473301600447E8,97,34.37961500288214,-4,24.552307555445704,602.8158062971962,"{""type"":""MultiPoint"",""coordinates"":[]}"
2409605,2409605,2.962576341811221E8,266,203.2291501132501,136,26.033755801400748,677.756441126967,"{""type"":""MultiPoint"",""coordinates"":[]}"
2409704,2409704,9.569114282125875E8,299,127.7951390398611,31,48.34626886429098,2337.361713098311,"{""type"":""MultiPoint"",""coordinates"":[]}"
2409803,2409803,1.935400122396331E8,193,79.15017450532359,7,47.06165599224044,2214.79946473198,"{""type"":""MultiPoint"",""coordinates"":[]}"
2409902,2409902,4.2098177942169774E8,92,32.78105810266216,-3,19.409901709591587,376.7442843760064,"{""type"":""MultiPoint"",""coordinates"":[]}"
2410009,2410009,8.30503012128353E7,310,269.5433863160184,230,13.478333540987931,181.66547504212028,"{""type"":""MultiPoint"",""coordinates"":[]}"
2410108,2410108,2.3140679805963936E8,148,102.68171694934487,36,18.57577094892639,345.05926634697767,"{""type"":""MultiPoint"",""coordinates"":[]}"
2410207,2410207,1.105314995007718E8,721,550.5166332144399,229,102.69237322184208,10545.723517934108,"{""type"":""MultiPoint"",""coordinates"":[]}"
2410256,2410256,3.628208315284706E8,227,50.61194151102136,-6,51.52787707533247,2655.1221158905737,"{""type"":""MultiPoint"",""coordinates"":[]}"
2410306,2410306,2.1848281166367468E8,401,157.0894925509028,101,27.667000388121075,765.4629104762917,"{""type"":""MultiPoint"",""coordinates"":[]}"
