"","CD_MUN","Forest_Cover_Percent_2001","Forest_Cover_Percent_2002","Forest_Cover_Percent_2003","Forest_Cover_Percent_2004","Forest_Cover_Percent_2005","Forest_Cover_Percent_2006","Forest_Cover_Percent_2007","Forest_Cover_Percent_2008","Forest_Cover_Percent_2009","Forest_Cover_Percent_2010","Forest_Cover_Percent_2011","Forest_Cover_Percent_2012","Forest_Cover_Percent_2013","Forest_Cover_Percent_2014","Forest_Cover_Percent_2015","Forest_Cover_Percent_2016","Forest_Cover_Percent_2017","Forest_Cover_Percent_2018","Forest_Cover_Percent_2019","Forest_Cover_Percent_2020"
"1837",2501203,92.2030324819642,89.9890740577594,89.8588378264491,88.3731491879395,83.9672382363466,73.1573069948543,70.5526283661473,69.6409862665048,68.9897769023352,67.9974083999679,66.1736239776794,46.2913172902559,45.5099053844721,42.4695794401808,NA,NA,NA,NA,NA,NA
"1838",2501302,98.4484902206029,97.8178505448645,97.7083140149209,97.6620101785924,97.4788389532919,97.0198173263038,96.2573471648532,94.7639015588533,94.6918062333716,93.4664131299624,93.418045616968,92.1558216104223,91.6723844938155,90.1569343528605,89.9968363886443,89.8186779832511,89.3923863502594,89.0596228905128,88.5675415492859,88.5016173139082
"1839",2501351,97.6604998241233,97.0765480247858,96.8777517431297,96.4042355387779,96.2776229161669,96.0666552309277,94.9606042049155,94.2956852398564,94.1166738486841,93.9632295872527,93.2501970592029,91.8445750113121,89.7994196039299,88.6231487435263,88.4265873832766,88.3115049773081,86.6900402580994,86.4918342573079,NA,NA
"1840",2501401,99.4987414643102,98.66377535467,98.5714535492797,98.2733708645101,97.8282561817915,97.6464601609168,96.7257606398919,95.5307463798818,95.3128923383695,95.031593163895,94.7155475663864,94.332760352736,93.3307442078182,92.8070116666232,92.5822291930339,92.1411323429027,91.1827472015841,90.9342473102303,90.4849351202767,90.2804153390826
"1841",2501500,99.1832399401268,98.2224763631349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1842",2501534,94.0007167656836,93.1181955961323,79.4920113487922,78.7023724025878,74.4755880011563,73.6627744981175,69.6217562829252,67.2703782945558,65.9698146559145,65.2266414543018,64.1670130804252,57.5751241755214,56.3210464554088,55.8458414007763,55.7761654977216,NA,NA,NA,NA,NA
"1843",2501575,98.8154903003739,98.1596432960974,97.784221614011,97.5640387885696,96.9481925220026,96.4261760943539,95.4340134419755,90.9585823616813,90.4269573102019,88.8965967493943,88.6313131043325,87.652860806584,86.6839556271292,86.0517885115118,85.9839645641629,85.9344002685127,85.9121855116173,NA,NA,NA
"1844",2501609,98.8772971187435,98.3776140374255,97.9842642651347,97.5849065319376,95.0914461404757,91.8311412492627,88.9310773010409,87.590717437293,86.6153855400429,84.4767043974607,83.0096399430944,82.5648186343943,82.0324869137796,81.1392644621723,81.0975458711093,81.0805515665685,81.0434722639189,81.0133445551179,80.7993909002343,80.7236888549101
"1845",2501708,97.3244706599351,96.6933769845252,96.2159552682805,96.0961399083822,95.8868295039591,95.304116719269,94.4616522734186,92.9990586862753,92.3124546093239,91.1821882148337,89.7258079858487,89.1637954151378,88.7932339397371,88.3124399173985,87.4771777715974,87.3056773639931,86.5128272151892,86.5036077157681,86.4980776434582,NA
"1846",2501807,98.7724887015883,97.7456832280145,97.3921801098455,97.3585146283445,97.215432468143,97.1480996980094,96.8030148459379,95.148827838428,94.3164774721523,93.7693950097191,93.2905987919836,93.0296732847772,93.0212560568684,92.8930867002723,92.379677576686,92.1103377592692,92.0214158325878,91.9624995625306,91.7605035166898,91.6005828585093
"1847",2501906,98.9134883797546,97.6821902097555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1848",2502003,97.5998005252146,97.4743901742801,97.250254214341,96.3554017358986,94.1095882171997,93.4095351141103,92.3886640724941,92.1223361334896,90.5915720276426,88.6352976765512,87.975935337223,86.6222966446172,85.6446091832287,83.3414357325308,82.6747198439224,81.3176923779822,80.4780437431863,80.0917680865048,79.8518787019956,79.778690161274
"1849",2502052,99.6471675272439,99.3753140178153,99.2913621291001,98.857806974275,98.1625393050346,97.4005322140371,96.8527737572202,96.8047999382478,95.8204729329764,95.0867819727323,93.8766563735733,93.0522798983591,92.0639213228543,90.2716020302267,89.12413536294,88.3365508010055,87.0868849745378,85.3533653545241,84.7503553323281,83.5391420718981
"1850",2502102,99.6849402481148,99.5935637757664,99.5662842669227,99.4563560754548,99.0567361018656,97.9355375741052,97.2726835844776,97.1090145581038,96.6369765984184,94.0575830888273,93.8229924117192,93.1656032216026,92.633649889237,91.0102476473534,90.5133269362447,89.8305707622168,89.3133542641083,89.0542302895787,88.8823757804005,88.8237305777323
"1851",2502151,99.1027550344543,97.9690343143004,97.473311833647,96.8683820947784,96.208811411952,94.3485311681425,93.819968460478,91.7465449190382,91.5019731519577,89.8265626972827,89.7450394388182,89.1064190753542,88.3211020460924,88.1067219425559,88.0704941394027,88.0147594536324,88.0026807688528,NA,NA,NA
"1852",2502201,99.0140053825223,98.9123013510401,98.7902527037419,98.3243523561534,96.6107548660822,95.0330073883597,94.4024298597359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1853",2502300,99.217049131761,98.8880328275098,96.9725216134024,95.4192407184929,93.4078825756488,93.2161059052504,91.7664242150642,91.4074477319359,91.1910682941428,88.9076418368776,84.9710869849781,84.5649225324668,84.3589723671739,84.0761687382378,83.3286821817462,82.7898098374543,81.5014179964435,80.5720188531287,80.1491013484256,79.8982999711838
"1854",2502409,99.1914837835398,98.474277305061,98.3466717013749,96.9736129468411,95.7944050750213,94.977436001255,93.4024097528066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1855",2502508,99.7288324983568,99.4842719646932,99.2326174629876,98.8824299683386,98.4071263515702,97.7370802451976,97.5460610535707,96.0331182329263,95.6804746878778,94.4554081885867,94.0491181487165,93.9141878553471,93.0748090836052,92.514190013169,90.7866133706098,90.3666784566007,90.2404941411063,90.1207358907604,90.0846082714488,90.0648961050704
"1856",2502607,99.3236440238586,98.9244984441678,98.8705956708186,98.1451139644871,94.8680527426816,92.7434168387832,92.1846253166594,91.4037563799847,90.8557409167318,86.5971234433368,86.2719078035445,84.6768784706013,83.5931739051691,82.9673701843268,82.1990253996931,80.7428470506549,77.5683672052774,77.0209749893256,76.7999723601531,76.5645895873607
"1857",2502706,99.9026776534658,98.8689388241058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1858",2502805,93.2983180058798,92.6243421603747,92.3021299651362,89.9125007174104,87.584825542153,86.6806876036084,84.7963968476743,84.3229250770977,83.97200627818,82.5404680747479,81.7908378707029,78.3901736675981,78.0111684897886,77.4608870977033,76.6085919015064,74.6199859999703,72.5924262304799,71.4002767300899,71.2805114294357,71.141243113567
"1859",2502904,88.7842330862999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1860",2503001,98.7354107717427,97.0353005309576,96.0262371183768,95.3515554510781,95.0138184655521,94.4969528109542,92.7902829135534,89.1145862442393,88.698424455267,87.2782679757421,86.7108920594672,84.9977254579357,83.9949875925071,83.0579574088572,82.9734164367729,82.6986569889289,82.4292748584801,81.8846247297203,81.7480532424306,81.5399580113601
"1861",2503100,99.0001559822255,98.0266582156992,96.8655500775218,96.0351776112014,95.5176090458253,94.0776507535904,93.5602860170128,91.0005492695756,90.1279023637258,88.3173830910832,88.113744605373,87.8155998007713,87.4011374991292,86.8018833185209,86.2015616237582,84.2127284723636,83.9691452566279,83.765553585406,83.6928446979589,83.6819357146983
"1862",2503209,99.8974647805352,99.2594364077902,97.9037919080281,96.5861293970587,95.412689088518,92.5645663165423,91.8950464573178,91.5760547180006,91.4621289755297,91.0426398031335,91.0312470328361,90.6894615050201,90.0058758686362,89.9644178000135,NA,NA,NA,NA,NA,NA
"1863",2503308,99.5923065908512,99.2989729847597,99.1167036075291,98.1646446674917,95.8027658149216,94.0689329609842,91.7802698703905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
