"","Date","Year","Month","ADM1_PCODE","Pop0_19","cases0_19","pred.mean","pred.median","pred.lci","pred.uci"
"128",2011-10-01,2011,10,"PE17",61776,48,12.83,7,0,56.05
"129",2011-10-01,2011,10,"PE20",738144,11,23.182,11,0,126.05
"130",2011-10-01,2011,10,"PE22",342603,1,142.814,66,0.975000000000001,687.2
"131",2011-10-01,2011,10,"PE24",87342,0,2.904,2,0,15
"132",2011-10-01,2011,10,"PE25",235480,13,90.394,40.5,0,476.025
"133",2011-11-01,2011,11,"PE16",446868,42,450.379,236,4,2263.175
"134",2011-11-01,2011,11,"PE17",61776,36,30.652,16,0,146.05
"135",2011-11-01,2011,11,"PE20",738144,12,19.665,8,0,109.025
"136",2011-11-01,2011,11,"PE22",342603,3,191.584,85.5,1,996.574999999999
"137",2011-11-01,2011,11,"PE24",87342,4,1.994,1,0,11
"138",2011-11-01,2011,11,"PE25",235480,124,172.76,80,1,881.074999999999
"139",2011-12-01,2011,12,"PE16",446868,33,682.962,351,3.975,3201.4
"140",2011-12-01,2011,12,"PE17",61776,13,28.291,16,0,123.025
"141",2011-12-01,2011,12,"PE20",738144,2,24.972,12,0,127.075
"142",2011-12-01,2011,12,"PE22",342603,7,232.577,118.5,1,1233.175
"143",2011-12-01,2011,12,"PE24",87342,0,1.861,1,0,10
"144",2011-12-01,2011,12,"PE25",235480,622,137.693,56,0.975000000000001,728.325
"145",2012-01-01,2012,1,"PE16",446868,189,371.085,210.5,2,1655.3
"146",2012-01-01,2012,1,"PE17",61776,29,39.084,21.5,0,165.075
"147",2012-01-01,2012,1,"PE20",738144,2,72.781,37.5,0,363.325
"148",2012-01-01,2012,1,"PE22",342603,26,575.912,280.5,3,3062.125
"149",2012-01-01,2012,1,"PE24",87342,2,7.127,4,0,32.025
"150",2012-01-01,2012,1,"PE25",235480,1345,844.641,416,6,4236.2
"151",2012-02-01,2012,2,"PE16",446868,181,327.707,171,1.975,1598.4
"152",2012-02-01,2012,2,"PE17",61776,24,31.728,19,0,150.05
"153",2012-02-01,2012,2,"PE20",738144,4,137.869,59,0,705.025
"154",2012-02-01,2012,2,"PE22",342603,19,615.369,292.5,3,3116.35
"155",2012-02-01,2012,2,"PE24",87342,1,11.031,6,0,48.025
"156",2012-02-01,2012,2,"PE25",235480,219,691.46,365.5,5,3290.875
"157",2012-03-01,2012,3,"PE16",446868,303,224.626,117,1,1167.05
