"","Date","Year","Month","ADM1_PCODE","PopTotal","cases_total","pred.mean","pred.median","pred.lci","pred.uci"
"140",2011-12-01,2011,12,"PE17",161203,27,80.628,44,0,382.1
"141",2011-12-01,2011,12,"PE20",1929969,3,87.354,43,0,418.25
"142",2011-12-01,2011,12,"PE22",862467,15,580.902,243.5,3,3077.325
"143",2011-12-01,2011,12,"PE24",234701,1,5.629,3,0,28
"144",2011-12-01,2011,12,"PE25",548999,1190,348.969,160,2,1849.775
"145",2012-01-01,2012,1,"PE16",981899,400,1011.517,503,7,4865.75
"146",2012-01-01,2012,1,"PE17",161203,101,102.444,61,0,472.2
"147",2012-01-01,2012,1,"PE20",1929969,4,206.626,92,0.975000000000001,1100.375
"148",2012-01-01,2012,1,"PE22",862467,78,1252.3,596,6,6775.9
"149",2012-01-01,2012,1,"PE24",234701,5,19.514,9,0,92.0749999999999
"150",2012-01-01,2012,1,"PE25",548999,2529,1816.442,925.5,10,9391.3
"151",2012-02-01,2012,2,"PE16",981899,396,906.453,486,5.975,4463.325
"152",2012-02-01,2012,2,"PE17",161203,95,75.259,43,0,339.025
"153",2012-02-01,2012,2,"PE20",1929969,11,392.057,177.5,1,1938.475
"154",2012-02-01,2012,2,"PE22",862467,62,1362.122,623,8,6704.1
"155",2012-02-01,2012,2,"PE24",234701,3,32.55,15,0,179.275
"156",2012-02-01,2012,2,"PE25",548999,478,1476.988,754.5,6,7321.925
"157",2012-03-01,2012,3,"PE16",981899,595,618.304,320.5,5,2959.35
"158",2012-03-01,2012,3,"PE17",161203,151,70.004,40,0,291.125
"159",2012-03-01,2012,3,"PE20",1929969,20,796.958,375,3,3923.3
"160",2012-03-01,2012,3,"PE22",862467,105,1075.499,477,4,5660.65
"161",2012-03-01,2012,3,"PE24",234701,10,44.962,24,0,198.1
"162",2012-03-01,2012,3,"PE25",548999,109,1113.415,556.5,7,5133.575
"163",2012-04-01,2012,4,"PE16",981899,577,461.968,251,2,2201.275
"164",2012-04-01,2012,4,"PE17",161203,269,59.646,33,0,249.1
"165",2012-04-01,2012,4,"PE20",1929969,78,1330.205,603,5,7128.72499999999
"166",2012-04-01,2012,4,"PE22",862467,56,931.197,433,3,4799.225
"167",2012-04-01,2012,4,"PE24",234701,9,69.642,37,0,326
"168",2012-04-01,2012,4,"PE25",548999,15,798.182,398,3,3907.55
"169",2012-05-01,2012,5,"PE16",981899,412,325.778,155,2,1564.175
"170",2012-05-01,2012,5,"PE17",161203,237,46.046,27,0,206.2
"171",2012-05-01,2012,5,"PE20",1929969,290,1201.716,577.5,5,5886.375
"172",2012-05-01,2012,5,"PE22",862467,63,750.29,377,6.975,3490.175
"173",2012-05-01,2012,5,"PE24",234701,65,79.192,40.5,0,355.15
"174",2012-05-01,2012,5,"PE25",548999,13,589.492,262.5,4.975,3132.55
"175",2012-06-01,2012,6,"PE16",981899,445,247.605,123.5,1,1281.125
"176",2012-06-01,2012,6,"PE17",161203,249,27.811,16,0,117
"177",2012-06-01,2012,6,"PE20",1929969,345,569.081,282,3,3030.075
"178",2012-06-01,2012,6,"PE22",862467,118,667.568,336,4,3315.55
"179",2012-06-01,2012,6,"PE24",234701,248,53.174,26,0,262
"180",2012-06-01,2012,6,"PE25",548999,13,480.16,226.5,2,2563.825
"181",2012-07-01,2012,7,"PE16",981899,104,201.651,106.5,0,946
"182",2012-07-01,2012,7,"PE17",161203,119,24.08,13.5,0,103.075
"183",2012-07-01,2012,7,"PE20",1929969,205,344.165,148,1,1717.075
"184",2012-07-01,2012,7,"PE22",862467,348,549.118,244,4,2619.425
"185",2012-07-01,2012,7,"PE24",234701,144,46.319,23,0,229.125
"186",2012-07-01,2012,7,"PE25",548999,21,449.441,216.5,1.975,2860.225
"187",2012-08-01,2012,8,"PE16",981899,73,187.527,94.5,0,937.025
"188",2012-08-01,2012,8,"PE17",161203,41,17.599,10,0,80.025
"189",2012-08-01,2012,8,"PE20",1929969,98,202.249,94,1,984.1
"190",2012-08-01,2012,8,"PE22",862467,565,464.346,218,2,2222.6
"191",2012-08-01,2012,8,"PE24",234701,39,35.896,19,0,172
"192",2012-08-01,2012,8,"PE25",548999,26,485.236,219.5,2,2411.125
"193",2012-09-01,2012,9,"PE16",981899,116,203.861,104.5,1,910
"194",2012-09-01,2012,9,"PE17",161203,31,22.592,13,0,98
"195",2012-09-01,2012,9,"PE20",1929969,56,144.572,69.5,0,666.649999999999
"196",2012-09-01,2012,9,"PE22",862467,113,527.982,262.5,2.975,2590.175
"197",2012-09-01,2012,9,"PE24",234701,35,24.388,13,0,117.1
"198",2012-09-01,2012,9,"PE25",548999,73,650.028,304,4.975,3109.975
"199",2012-10-01,2012,10,"PE16",981899,130,340.816,178,3,1545.1
"200",2012-10-01,2012,10,"PE17",161203,124,41.584,24,0,165.125
"201",2012-10-01,2012,10,"PE20",1929969,35,118.872,59,0,580.974999999999
"202",2012-10-01,2012,10,"PE22",862467,56,672.716,298.5,3.975,3598.15
"203",2012-10-01,2012,10,"PE24",234701,10,19.436,9,0,100.075
"204",2012-10-01,2012,10,"PE25",548999,673,939.251,455,7,5108.02499999999
"205",2012-11-01,2012,11,"PE16",981899,657,496.773,235.5,2,2285.625
"206",2012-11-01,2012,11,"PE17",161203,396,82.447,43,0,401.025
"207",2012-11-01,2012,11,"PE20",1929969,32,105.071,50.5,0,547.375
"208",2012-11-01,2012,11,"PE22",862467,500,674.813,322,2,3581.35
"209",2012-11-01,2012,11,"PE24",234701,20,14.351,8,0,62.05
"210",2012-11-01,2012,11,"PE25",548999,5152,1006.156,478.5,4,4546.125
"211",2012-12-01,2012,12,"PE16",981899,477,740.271,405,3.975,3480.1
"212",2012-12-01,2012,12,"PE17",161203,234,84.635,47,0,379.2
"213",2012-12-01,2012,12,"PE20",1929969,7,126.41,63,0,633
"214",2012-12-01,2012,12,"PE22",862467,258,923.655,428,3.975,5075.5
"215",2012-12-01,2012,12,"PE24",234701,4,14.081,7,0,71
"216",2012-12-01,2012,12,"PE25",548999,1954,2060.656,1114.5,16.975,9140.55
"217",2013-01-01,2013,1,"PE16",981899,332,1250.922,647.5,4.975,5918.875
"218",2013-01-01,2013,1,"PE17",161203,197,106.131,62,0,470.125
"219",2013-01-01,2013,1,"PE20",1929969,19,253.217,103.5,1,1371.1
"220",2013-01-01,2013,1,"PE22",862467,95,903.308,493.5,3.975,4538.475
"221",2013-01-01,2013,1,"PE24",234701,0,13.393,6,0,71.0749999999999
"222",2013-01-01,2013,1,"PE25",548999,275,721.503,342,3,3560.15
"223",2013-02-01,2013,2,"PE16",981899,443,899.511,447,4,4511.325
"224",2013-02-01,2013,2,"PE17",161203,270,76.865,48,0,327.025
"225",2013-02-01,2013,2,"PE20",1929969,83,448.204,199.5,1,2183.925
"226",2013-02-01,2013,2,"PE22",862467,116,991.19,395.5,4,6633.22499999999
"227",2013-02-01,2013,2,"PE24",234701,2,19.966,10,0,100.075
"228",2013-02-01,2013,2,"PE25",548999,182,531.539,249.5,4,2651.525
"229",2013-03-01,2013,3,"PE16",981899,538,666.591,356,5,2980.55
"230",2013-03-01,2013,3,"PE17",161203,379,64.997,34,0,292
"231",2013-03-01,2013,3,"PE20",1929969,462,751.235,348.5,2,3859.675
"232",2013-03-01,2013,3,"PE22",862467,165,674.911,318.5,4,3242.7
"233",2013-03-01,2013,3,"PE24",234701,31,24.866,12,0,129.025
"234",2013-03-01,2013,3,"PE25",548999,154,321.176,164.5,1,1568.175
"235",2013-04-01,2013,4,"PE16",981899,370,531.542,290,4,2584.45
"236",2013-04-01,2013,4,"PE17",161203,349,56.202,32,0,250.125
"237",2013-04-01,2013,4,"PE20",1929969,893,1242.346,573.5,7.975,6387.425
"238",2013-04-01,2013,4,"PE22",862467,97,599.62,255.5,1.975,3105.075
"239",2013-04-01,2013,4,"PE24",234701,34,39.66,21,0,167.025
"240",2013-04-01,2013,4,"PE25",548999,95,214.321,100,1,1034.925
"241",2013-05-01,2013,5,"PE16",981899,371,395.261,221.5,1,1891.175
"242",2013-05-01,2013,5,"PE17",161203,240,47.434,26,0,210.125
"243",2013-05-01,2013,5,"PE20",1929969,337,1275.682,603,8,6364.9
"244",2013-05-01,2013,5,"PE22",862467,86,486.363,224.5,1,2633.025
"245",2013-05-01,2013,5,"PE24",234701,49,45.469,25,0,208.025
"246",2013-05-01,2013,5,"PE25",548999,9,219.332,98,1,1102.45
"247",2013-06-01,2013,6,"PE16",981899,387,258.356,133.5,0.975000000000001,1259.35
"248",2013-06-01,2013,6,"PE17",161203,97,38.181,22,0,164.075
"249",2013-06-01,2013,6,"PE20",1929969,144,839.954,396,5.975,4209.925
"250",2013-06-01,2013,6,"PE22",862467,75,443.117,201.5,3.975,2234.575
"251",2013-06-01,2013,6,"PE24",234701,58,47.921,25,0,227.05
"252",2013-06-01,2013,6,"PE25",548999,10,162.582,75,0.975000000000001,822.05
"253",2013-07-01,2013,7,"PE16",981899,196,211.087,116,1,1048.65
"254",2013-07-01,2013,7,"PE17",161203,122,23.927,12,0,110.05
"255",2013-07-01,2013,7,"PE20",1929969,7,517.519,248,3.975,2895.7
"256",2013-07-01,2013,7,"PE22",862467,69,485.882,226.5,2,2321.575
"257",2013-07-01,2013,7,"PE24",234701,43,36.346,19,0,161.225
"258",2013-07-01,2013,7,"PE25",548999,43,142.308,67,0,738.5
"259",2013-08-01,2013,8,"PE16",981899,263,174.222,94,1,815.475
"260",2013-08-01,2013,8,"PE17",161203,110,17.699,10.5,0,81
"261",2013-08-01,2013,8,"PE20",1929969,0,315.94,140,2,1814.35
"262",2013-08-01,2013,8,"PE22",862467,114,411.098,179.5,2,2353.425
"263",2013-08-01,2013,8,"PE24",234701,11,26.802,13,0,128
"264",2013-08-01,2013,8,"PE25",548999,28,154.634,73.5,1,767.199999999999
"265",2013-09-01,2013,9,"PE16",981899,264,206.261,108.5,1,929.949999999999
"266",2013-09-01,2013,9,"PE17",161203,38,25.868,14,0,115.1
"267",2013-09-01,2013,9,"PE20",1929969,0,196.484,96,0,977.475
"268",2013-09-01,2013,9,"PE22",862467,62,357.861,171,2,1850.25
"269",2013-09-01,2013,9,"PE24",234701,5,18.935,10,0,90.025
"270",2013-09-01,2013,9,"PE25",548999,16,208.264,94.5,0,1112.3
"271",2013-10-01,2013,10,"PE16",981899,243,339.982,182.5,1,1578.425
